id,name,description,page_url,image_url
1,濃厚な味わいを楽しむ！コク旨赤ワイン５本セット VB5-1 [750ml x 5],凝縮した果実味と滑らかな口当たりが特徴の赤ワイン5本をセレクト。濃厚な赤ワイン好き必見のラインナップ。,https://www.enoteca.co.jp/item/detail/890920AL00C5P,https://www.enoteca.co.jp/_nuxt/2191bd1c93d5ff06f4af283898c6391d.svg
2,エボ,イタリア最高峰のワインを追求するトスカーナの注目ワイナリー。芳醇なアロマが魅力の、トスカーナらしさ溢れるチャーミングな赤ワイン。,https://www.enoteca.co.jp/item/detail/046504541,https://www.enoteca.co.jp/_nuxt/2191bd1c93d5ff06f4af283898c6391d.svg
3,バルベラ・ダルバ,ピエモンテで100年以上続く老舗ワイナリー。ピュアな果実味たっぷりの、地元で愛される普段飲みワイン。,https://www.enoteca.co.jp/item/detail/044523321,https://www.enoteca.co.jp/_nuxt/2191bd1c93d5ff06f4af283898c6391d.svg
4,バッルーア,専門誌から高い評価を受けるサルデーニャの実力派。名醸造家に磨き上げられ、濃厚なスタイルながらも驚くべきエレガンスを発揮するフラッグシップキュヴェ。,https://www.enoteca.co.jp/item/detail/046624281,https://www.enoteca.co.jp/_nuxt/2191bd1c93d5ff06f4af283898c6391d.svg
5,ネプリカ・プリミティーヴォ,名門アンティノリがプーリアで手掛けるワイナリー。甘みを感じる果実味と豊かな酸味、滑らかな飲み心地が魅力の赤ワイン。,https://www.enoteca.co.jp/item/detail/040070230,https://www.enoteca.co.jp/_nuxt/2191bd1c93d5ff06f4af283898c6391d.svg
6,ネプリカ・ネグロアマーロ,名門アンティノリがプーリアで造るシリーズ。豊かな果実味と柔らかなタンニンを感じる赤ワイン。,https://www.enoteca.co.jp/item/detail/040070280,https://www.enoteca.co.jp/_nuxt/2191bd1c93d5ff06f4af283898c6391d.svg
7,サンタ・クリスティーナ・ロッソ,イタリアの偉大な名門、アンティノリ家が手掛ける人気ブランド。チャーミングなスタイルでリリース以来長年愛されるロングセラーワイン。,https://www.enoteca.co.jp/item/detail/044523527,https://www.enoteca.co.jp/_nuxt/2191bd1c93d5ff06f4af283898c6391d.svg
8,フィキモリ,プーリア州のイメージを一新した、革新的ワイナリー。暑さが厳しい南イタリアの伝統から生まれた、冷やして美味しい赤ワイン。,https://www.enoteca.co.jp/item/detail/044523071,https://www.enoteca.co.jp/_nuxt/2191bd1c93d5ff06f4af283898c6391d.svg
9,フュロット・バルベラ・ダスティ,名門アンティノリがピエモンテで手掛ける老舗ワイナリー。 土着品種バルベラから造り出される、 ほのかなミネラル感と渋みが心地良いスタイル。,https://www.enoteca.co.jp/item/detail/044521041,https://www.enoteca.co.jp/_nuxt/2191bd1c93d5ff06f4af283898c6391d.svg
10,サンタ・クリスティーナ・キャンティ・スペリオーレ,イタリアの偉大な名門、アンティノリ家が手掛ける人気ブランド。厚みがありつつ上品で滑らかな仕上がりのキャンティDOCG。,https://www.enoteca.co.jp/item/detail/044520031,https://www.enoteca.co.jp/_nuxt/2191bd1c93d5ff06f4af283898c6391d.svg
11,ヴィラ・アンティノリ・ロッソ,イタリアの偉大な老舗ワインメーカー。サンジョヴェーゼと国際品種をブレンドした、親しみやすくも洗練されたスーパータスカン。,https://www.enoteca.co.jp/item/detail/044524151,https://www.enoteca.co.jp/_nuxt/2191bd1c93d5ff06f4af283898c6391d.svg
12,ドルチェット・ダルバ,ピエモンテで100年以上続く老舗ワイナリー。溢れる果実味に心地よいスパイス感。上品で愛らしい、フードフレンドリーな1本。,https://www.enoteca.co.jp/item/detail/044520391,https://www.enoteca.co.jp/_nuxt/2191bd1c93d5ff06f4af283898c6391d.svg
