id,name,description,page_url,image_url
1,憧れの品種を飲み比べ！ピノ・ノワール5本セット VR6-1 [750ml x 5],定番のフランス・ブルゴーニュから、NZやアメリカなどの注目産地まで！世界各国で造られる多彩な味わいのピノ・ノワールをセレクト。,https://www.enoteca.co.jp/item/detail/890920C400C5P,https://enoteca.imagewave.pictures/EMqVaeivEQn39oSK4cdqaA
2,濃厚な味わいを楽しむ！コク旨赤ワイン５本セット VB5-1 [750ml x 5],凝縮した果実味と滑らかな口当たりが特徴の赤ワイン5本をセレクト。濃厚な赤ワイン好き必見のラインナップ。,https://www.enoteca.co.jp/item/detail/890920AL00C5P,https://enoteca.imagewave.pictures/as4xSSu5QBzsyTCFqgDpgA
3,エボ,イタリア最高峰のワインを追求するトスカーナの注目ワイナリー。芳醇なアロマが魅力の、トスカーナらしさ溢れるチャーミングな赤ワイン。,https://www.enoteca.co.jp/item/detail/046504541,https://enoteca.imagewave.pictures/YvZOJJvng/bottle-500
4,バルベラ・ダルバ,ピエモンテで100年以上続く老舗ワイナリー。ピュアな果実味たっぷりの、地元で愛される普段飲みワイン。,https://www.enoteca.co.jp/item/detail/044523321,https://enoteca.imagewave.pictures/UojwiJMksHsN3mCodiQ8CU/bottle-500
5,バッルーア,専門誌から高い評価を受けるサルデーニャの実力派。名醸造家に磨き上げられ、濃厚なスタイルながらも驚くべきエレガンスを発揮するフラッグシップキュヴェ。,https://www.enoteca.co.jp/item/detail/046624281,https://enoteca.imagewave.pictures/Gf8duWoMyFjSYuNEiDPy8Y/bottle-500
6,レゼルヴ・ムートン・カデ・メドック,格付け第一級シャトーが手掛ける、ムートン・カデの上級シリーズ。メドックらしさを表現した厚みのある果実味と複雑なニュアンスが魅力。,https://www.enoteca.co.jp/item/detail/010054241,https://enoteca.imagewave.pictures/jbqmXq3infSPohV5R7n2qM/bottle-500
7,ソモンターノ カベルネ・ソーヴィニヨン・メルロ,世界中のシェフを夢中にさせるエナーテが手掛ける、ボルドーブレンドのモダン・スパニッシュ赤ワイン。芳醇な果実味によるジューシーな味わいが魅力。,https://www.enoteca.co.jp/item/detail/087000071,https://enoteca.imagewave.pictures/ezxdb1D7R/bottle-500
8,ピノタージュ・シラーズ,南アフリカの名門ルパート家が造る、上質なブドウのみをブレンドして仕立てられる赤ワイン。果実味溢れるハイクオリティな味わいが魅力。,https://www.enoteca.co.jp/item/detail/130580021,https://enoteca.imagewave.pictures/95FdbJvnR/bottle-500
9,ブルゴーニュ・ピノ・ノワール ラ・ムートニエール,5世代続く老舗大規模メゾンによる、フルーティーな1本。サン・トーバン村を中心にサヴィニー・レ・ボーヌなどのブドウを巧みにブレンド。,https://www.enoteca.co.jp/item/detail/023901060,https://enoteca.imagewave.pictures/XHXmZMCzsZ3pQ7xJPaKJTS/bottle-500
10,モンテス・アルファ・カベルネ・ソーヴィニヨン,チリワインの確固たる地位を築いた、モンテス社が世界に誇るプレミアムワイン。エレガントで果実味豊かなフルボディ。,https://www.enoteca.co.jp/item/detail/066810121,https://enoteca.imagewave.pictures/gDZ3jpgGLxBryAmuR3LChN/bottle-500
